"","x"
"470",8
"471",6
"472",4
"473",11
"474",1
"475",0
"476",25
"477",6
"478",12
"479",3
"480",3
"481",0
"482",1
"483",0
"484",6
"485",5
"486",3
"487",2
"488",5
"489",8
"490",11
"491",4
"492",14
"493",12
"494",0
"495",1
"496",50
"497",0
"498",4
"499",2
"500",18
"501",2
"502",9
"503",17
"504",1
"505",7
"506",5
"507",0
"508",8
"509",6
"510",17
"511",7
"512",1
"513",6
"514",3
"515",22
"516",1
"517",1
"518",11
"519",1
"520",0
"521",3
"522",3
"523",4
"524",2
"525",18
"526",0
"527",1
"528",7
"529",5
"530",0
"531",0
"532",7
"533",50
"534",5
"535",18
"536",44
"537",21
"538",1
"539",8
"540",57
"541",0
"542",1
"543",1
"544",7
"545",12
"546",6
"547",4
"548",0
"549",0
"550",8
"551",8
"552",1
"553",4
"554",1
"555",0
"556",2
"557",2
"558",9
"559",2
"560",4
"561",8
"562",15
"563",5
"564",6
"565",3
"566",2
"567",24
"568",12
"569",1
"570",6
"571",4
"572",8
"573",2
"574",11
"575",21
"576",0
"577",6
"578",3
"579",0
"580",19
"581",8
"582",2
"583",21
"584",4
"585",7
"586",2
"587",5
"588",4
"589",9
"590",5
"591",14
"592",25
"593",19
"594",4
"595",6
"596",3
"597",0
"598",4
"599",2
"600",5
"601",42
"602",25
"603",17
"604",2
"605",4
"606",1
"607",8
"608",0
"609",10
"610",3
"611",0
"612",3
"613",22
"614",22
"615",6
"616",7
"617",11
"618",19
"619",1
"620",14
"621",23
"622",3
"623",3
"624",6
"625",8
"626",9
"627",10
"628",9
"629",1
"630",4
"631",9
"632",0
"633",2
"634",4
"635",6
"636",5
"637",18
"638",0
"639",3
"640",2
"641",6
"642",1
"643",1
"644",1
"645",0
"646",9
"647",0
"648",0
"649",4
"650",3
"651",2
"652",10
"653",11
"654",11
"655",4
"656",25
"657",11
"658",10
"659",19
"660",23
"661",2
"662",2
"663",32
"664",9
"665",11
"666",18
"667",12
"668",0
"669",9
"670",5
"671",5
"672",1
"673",3
"674",11
"675",3
"676",3
"677",0
"678",2
"679",11
"680",3
"681",4
"682",2
"683",4
"684",3
"685",1
"686",22
"687",13
"688",10
"689",3
"690",12
"691",0
"692",4
"693",4
"694",6
"695",5
"696",17
"697",0
"698",3
"699",2
"700",1
"701",5
"702",19
"703",1
"704",11
"705",1
"706",0
"707",7
"708",0
"709",0
"710",13
"711",0
"712",0
"713",15
"714",14
"715",0
"716",0
"717",10
"718",4
"719",12
"720",0
"721",2
"722",13
"723",29
"724",13
"725",0
"726",1
"727",4
"728",0
"729",0
"730",1
"731",6
"732",0
"733",32
"734",0
"735",1
"736",3
"737",10
"738",4
"739",0
"740",14
"741",2
"742",1
"743",3
"744",2
"745",3
"746",9
"747",0
"748",25
"749",8
"750",2
"751",1
"752",0
"753",6
"754",1
"755",3
"756",5
"757",0
"758",3
"759",2
"760",10
"761",3
"762",0
"763",5
"764",10
"765",1
"766",6
"767",33
"768",1
"769",18
"770",4
"771",22
"772",6
"773",3
"774",0
"775",9
"776",18
"777",0
"778",5
"779",12
"780",3
"781",5
"782",4
"783",0
"784",14
"785",11
"786",7
"787",15
"788",11
"789",4
"790",8
"791",0
"792",7
"793",8
"794",0
"795",20
"796",2
"797",10
"798",36
"799",5
"800",51
"801",1
"802",2
"803",2
"804",4
"805",0
"806",7
"807",21
"808",6
"809",2
"810",0
"811",12
"812",4
"813",4
"814",1
"815",13
"816",12
"817",1
"818",1
"819",9
"820",5
"821",39
"822",19
"823",6
"824",2
"825",0
"826",2
"827",7
"828",8
"829",5
"830",1
"831",14
"832",0
"833",7
"834",5
"835",2
"836",2
"837",5
"838",1
"839",0
"840",16
"841",0
"842",0
"843",17
"844",5
"845",2
"846",1
"847",0
"848",1
"849",13
"850",0
"851",1
"852",7
"853",4
"854",18
"855",14
"856",2
"857",3
"858",2
"859",8
"860",0
"861",3
"862",0
"863",2
"864",3
"865",11
"866",7
"867",1
"868",3
"869",0
"870",11
"871",0
"872",10
"873",1
"874",0
"875",1
"876",3
"877",13
"878",6
"879",0
"880",17
"881",0
"882",2
"883",1
"884",39
"885",1
"886",3
"887",4
"888",1
"889",43
"890",4
"891",1
"892",2
"893",4
"894",0
"895",4
"896",1
"897",20
"898",0
"899",0
"900",5
"901",7
"902",0
"903",4
"904",7
"905",0
"906",0
"907",7
"908",1
"909",4
"910",1
"911",0
"912",4
"913",6
"914",4
"915",0
"916",6
"917",10
"918",0
"919",0
"920",13
"921",14
"922",10
"923",22
"924",0
"925",1
"926",13
"927",0
"928",9
"929",3
"930",33
"931",6
"932",0
"933",1
"934",6
"935",2
"936",0
"937",1
"938",7
"939",4
"940",1
"941",11
"942",2
"943",2
"944",3
"945",1
"946",1
"947",2
"948",6
"949",1
"950",2
"951",14
"952",19
"953",4
"954",1
"955",1
"956",6
"957",1
"958",2
"959",4
"960",0
"961",6
"962",10
"963",6
"964",11
"965",0
"966",0
"967",3
"968",12
"969",2
"970",12
"971",5
"972",8
"973",0
"974",10
"975",6
"976",9
"977",3
"978",15
"979",3
"980",14
"981",5
"982",10
"983",2
"984",6
"985",0
"986",3
"987",1
"988",9
"989",0
"990",7
"991",11
"992",8
"993",8
"994",4
"995",2
"996",6
"997",18
"998",6
"999",2
"1000",2
"1001",6
"1002",0
"1003",11
"1004",5
"1005",2
"1006",5
"1007",5
"1008",9
"1009",0
"1010",1
"1011",14
"1012",1
"1013",2
"1014",6
"1015",27
"1016",3
"1017",2
"1018",2
"1019",2
"1020",4
"1021",2
"1022",3
"1023",12
"1024",10
"1025",23
"1026",0
"1027",2
"1028",8
"1029",5
"1030",4
"1031",0
"1032",0
"1033",14
"1034",0
"1035",2
"1036",14
"1037",1
"1038",25
"1039",6
"1040",1
"1041",8
"1042",15
"1043",4
"1044",1
"1045",11
"1046",0
"1047",0
"1048",2
"1049",0
"1050",11
"1051",25
"1052",28
"1053",2
"1054",5
"1055",14
"1056",1
"1057",0
"1058",1
"1059",2
"1060",0
"1061",0
"1062",0
"1063",26
"1064",5
"1065",0
"1066",0
"1067",4
"1068",8
"1069",5
"1070",4
"1071",7
"1072",3
"1073",13
"1074",12
"1075",10
"1076",14
"1077",0
"1078",0
"1079",7
"1080",0
"1081",8
"1082",14
"1083",3
"1084",1
"1085",7
"1086",5
"1087",0
"1088",1
"1089",3
"1090",5
"1091",5
"1092",3
"1093",10
"1094",4
"1095",2
"1096",0
"1097",8
"1098",1
"1099",1
"1100",5
"1101",0
"1102",1
"1103",8
"1104",0
"1105",8
"1106",11
"1107",4
"1108",5
"1109",2
"1110",4
"1111",5
"1112",4
"1113",21
"1114",5
"1115",11
"1116",1
"1117",10
"1118",2
"1119",11
"1120",11
"1121",8
"1122",0
"1123",2
"1124",0
"1125",19
"1126",0
"1127",11
"1128",16
"1129",6
"1130",2
"1131",0
"1132",3
"1133",2
"1134",8
"1135",6
"1136",3
"1137",3
"1138",3
"1139",3
"1140",8
"1141",20
"1142",2
"1143",11
"1144",3
"1145",1
"1146",11
"1147",1
"1148",21
"1149",2
"1150",13
"1151",1
"1152",21
"1153",10
"1154",15
"1155",0
"1156",2
"1157",0
"1158",6
"1159",3
"1160",18
"1161",14
"1162",2
"1163",0
"1164",8
"1165",0
"1166",5
"1167",7
"1168",3
"1169",0
"1170",9
"1171",7
"1172",11
"1173",3
"1174",0
"1175",1
"1176",21
"1177",1
"1178",1
"1179",8
"1180",7
"1181",13
"1182",4
"1183",4
"1184",1
"1185",1
"1186",8
"1187",11
"1188",9
"1189",5
"1190",16
"1191",8
"1192",6
"1193",23
"1194",0
"1195",14
"1196",17
"1197",10
"1198",0
"1199",5
"1200",2
"1201",8
"1202",7
"1203",2
"1204",10
"1205",19
"1206",1
"1207",0
"1208",27
"1209",1
"1210",1
"1211",0
"1212",1
"1213",9
"1214",9
"1215",2
"1216",15
"1217",11
"1218",0
"1219",19
"1220",5
"1221",3
"1222",1
"1223",0
"1224",4
"1225",2
"1226",17
"1227",8
"1228",0
"1229",12
"1230",1
"1231",4
"1232",8
"1233",0
"1234",1
"1235",8
"1236",15
"1237",3
"1238",0
"1239",15
"1240",27
"1241",12
"1242",33
"1243",1
"1244",4
"1245",3
"1246",2
"1247",7
"1248",0
"1249",9
"1250",1
"1251",0
"1252",1
"1253",12
"1254",22
"1255",0
"1256",6
"1257",24
"1258",11
"1259",22
"1260",35
"1261",21
"1262",2
"1263",1
"1264",5
"1265",14
"1266",2
"1267",4
"1268",45
"1269",0
"1270",25
"1271",12
"1272",1
"1273",1
"1274",0
"1275",13
"1276",0
"1277",14
"1278",0
"1279",3
"1280",1
"1281",8
"1282",16
"1283",1
"1284",2
"1285",4
"1286",3
"1287",0
"1288",33
"1289",11
"1290",6
"1291",11
"1292",3
"1293",1
"1294",0
"1295",50
"1296",5
"1297",1
"1298",5
"1299",1
"1300",2
"1301",11
"1302",8
"1303",0
"1304",15
"1305",6
"1306",4
"1307",2
"1308",13
"1309",0
"1310",3
"1311",0
"1312",2
"1313",6
"1314",4
"1315",18
"1316",2
"1317",0
"1318",0
"1319",16
"1320",10
"1321",4
"1322",2
"1323",5
"1324",31
"1325",0
"1326",1
"1327",0
"1328",2
"1329",1
"1330",5
"1331",0
"1332",3
"1333",7
"1334",12
"1335",0
"1336",1
"1337",1
"1338",6
"1339",2
"1340",7
"1341",10
"1342",20
"1343",11
"1344",4
"1345",1
"1346",2
"1347",0
"1348",2
"1349",0
"1350",3
"1351",0
"1352",6
"1353",0
"1354",19
"1355",0
"1356",3
"1357",2
"1358",1
"1359",0
"1360",15
"1361",2
"1362",11
"1363",4
"1364",3
"1365",2
"1366",14
"1367",2
"1368",19
"1369",0
"1370",3
"1371",17
"1372",0
"1373",7
"1374",23
"1375",1
"1376",19
"1377",4
"1378",1
"1379",18
"1380",4
"1381",0
"1382",2
"1383",3
"1384",12
"1385",18
"1386",0
"1387",1
"1388",4
"1389",10
"1390",6
"1391",1
"1392",0
"1393",4
"1394",1
"1395",0
"1396",6
"1397",2
"1398",7
"1399",0
"1400",0
"1401",9
"1402",5
"1403",0
"1404",8
"1405",1
"1406",14
"1407",0
"1408",0
"1409",6
"1410",6
"1411",1
"1412",12
"1413",1
"1414",5
"1415",0
"1416",2
"1417",3
"1418",5
"1419",0
"1420",7
"1421",0
"1422",3
"1423",3
"1424",17
"1425",11
"1426",2
"1427",0
"1428",3
"1429",13
"1430",2
"1431",3
"1432",14
"1433",1
"1434",14
"1435",24
"1436",5
"1437",9
"1438",0
"1439",3
"1440",21
"1441",12
"1442",0
"1443",1
"1444",10
"1445",13
"1446",28
"1447",0
"1448",0
"1449",15
"1450",7
"1451",18
"1452",1
"1453",1
"1454",11
"1455",6
"1456",3
"1457",4
"1458",0
"1459",3
"1460",2
"1461",0
"1462",1
"1463",31
"1464",35
"1465",8
"1466",0
"1467",6
"1468",13
"1469",15
"1470",5
"1471",2
"1472",35
"1473",26
"1474",3
"1475",2
"1476",1
"1477",2
"1478",3
"1479",11
"1480",1
"1481",0
"1482",2
"1483",1
"1484",4
"1485",3
"1486",0
"1487",3
"1488",0
"1489",7
"1490",7
"1491",0
"1492",3
"1493",4
"1494",13
"1495",1
"1496",1
"1497",19
"1498",1
"1499",0
"1500",4
"1501",0
"1502",1
"1503",11
"1504",3
"1505",61
"1506",1
"1507",11
"1508",5
"1509",9
"1510",10
"1511",7
"1512",2
"1513",14
"1514",13
"1515",1
"1516",4
"1517",7
"1518",16
"1519",3
"1520",6
"1521",5
"1522",7
"1523",1
"1524",10
"1525",13
"1526",0
"1527",5
"1528",2
"1529",15
"1530",1
"1531",0
"1532",10
"1533",7
"1534",23
"1535",0
"1536",1
"1537",0
"1538",0
"1539",8
"1540",4
"1541",13
"1542",3
"1543",10
"1544",2
"1545",0
"1546",1
"1547",5
"1548",19
"1549",0
"1550",0
"1551",5
"1552",2
"1553",3
"1554",13
"1555",3
"1556",5
"1557",3
"1558",4
"1559",4
"1560",0
"1561",1
"1562",0
"1563",13
"1564",1
"1565",10
"1566",11
"1567",6
"1568",14
"1569",0
"1570",0
"1571",4
"1572",22
"1573",0
"1574",3
"1575",20
"1576",5
"1577",15
"1578",6
"1579",3
"1580",15
"1581",5
"1582",10
"1583",1
"1584",1
"1585",14
"1586",3
"1587",14
"1588",2
"1589",7
"1590",5
"1591",10
"1592",3
"1593",9
"1594",22
"1595",0
"1596",6
"1597",2
"1598",30
"1599",0
"1600",10
"1601",18
"1602",1
"1603",23
"1604",2
"1605",9
"1606",4
"1607",1
"1608",4
"1609",4
"1610",6
"1611",42
"1612",5
"1613",0
"1614",8
"1615",9
"1616",0
"1617",23
"1618",35
"1619",12
"1620",6
"1621",28
"1622",5
"1623",0
"1624",11
"1625",1
"1626",4
"1627",6
"1628",19
"1629",1
"1630",5
"1631",17
"1632",1
"1633",1
"1634",8
"1635",1
"1636",2
"1637",7
"1638",19
"1639",7
"1640",1
"1641",23
"1642",9
"1643",11
"1644",4
"1645",4
"1646",7
"1647",3
"1648",25
"1649",17
"1650",0
"1651",13
"1652",7
"1653",6
"1654",1
"1655",0
"1656",5
"1657",7
"1658",0
"1659",0
"1660",3
"1661",7
"1662",11
"1663",2
"1664",13
"1665",7
"1666",3
"1667",0
"1668",2
"1669",0
"1670",12
"1671",1
"1672",1
"1673",0
"1674",21
"1675",7
"1676",11
"1677",22
"1678",7
"1679",0
"1680",21
"1681",8
"1682",4
"1683",0
"1684",0
"1685",3
"1686",0
"1687",11
"1688",0
"1689",6
"1690",4
"1691",10
"1692",6
"1693",12
"1694",19
"1695",2
"1696",8
"1697",5
"1698",4
"1699",8
"1700",6
"1701",0
"1702",0
"1703",2
"1704",1
"1705",1
"1706",0
"1707",17
"1708",7
"1709",5
"1710",35
"1711",1
"1712",30
"1713",2
"1714",7
"1715",0
"1716",1
"1717",15
"1718",5
"1719",1
"1720",4
"1721",2
"1722",1
"1723",5
"1724",2
"1725",6
"1726",7
"1727",0
"1728",6
"1729",9
"1730",6
"1731",3
"1732",3
"1733",3
"1734",25
"1735",23
"1736",4
"1737",3
"1738",25
"1739",1
"1740",3
"1741",20
"1742",4
"1743",15
"1744",10
"1745",8
"1746",2
"1747",0
"1748",10
"1749",3
"1750",0
"1751",3
"1752",2
"1753",5
"1754",18
"1755",3
"1756",7
"1757",13
"1758",0
"1759",16
"1760",1
"1761",10
"1762",2
"1763",32
"1764",13
"1765",2
"1766",1
"1767",28
"1768",0
"1769",16
"1770",8
"1771",2
"1772",17
"1773",9
"1774",0
"1775",2
"1776",24
"1777",15
"1778",41
"1779",3
"1780",1
"1781",0
"1782",1
"1783",9
"1784",1
"1785",16
"1786",2
"1787",1
"1788",1
"1789",0
"1790",8
"1791",6
"1792",2
"1793",14
"1794",6
"1795",11
"1796",0
"1797",4
"1798",14
"1799",2
"1800",0
"1801",9
"1802",24
"1803",0
"1804",0
"1805",2
"1806",14
"1807",4
"1808",8
"1809",21
"1810",0
"1811",6
"1812",25
"1813",6
"1814",3
"1815",4
"1816",8
"1817",18
"1818",0
"1819",6
"1820",1
"1821",11
"1822",1
"1823",19
"1824",17
"1825",0
"1826",1
"1827",0
"1828",4
"1829",2
"1830",1
"1831",21
"1832",1
"1833",5
"1834",7
"1835",28
"1836",28
"1837",6
"1838",2
"1839",1
"1840",24
"1841",0
"1842",12
"1843",1
"1844",18
"1845",0
"1846",4
"1847",0
"1848",0
"1849",47
"1850",11
"1851",22
"1852",5
"1853",4
"1854",1
"1855",1
"1856",7
"1857",4
"1858",13
"1859",0
"1860",0
"1861",11
"1862",9
"1863",0
"1864",2
"1865",0
"1866",9
"1867",3
"1868",0
"1869",1
"1870",2
"1871",11
"1872",0
"1873",4
"1874",5
"1875",0
"1876",2
"1877",0
"1878",4
"1879",5
"1880",5
"1881",5
"1882",5
"1883",16
"1884",5
"1885",13
"1886",1
"1887",0
"1888",1
"1889",21
"1890",35
"1891",1
"1892",21
"1893",2
"1894",34
"1895",0
"1896",9
"1897",0
"1898",1
"1899",1
"1900",1
"1901",0
"1902",36
"1903",13
"1904",1
"1905",1
"1906",1
"1907",1
"1908",3
"1909",1
"1910",7
"1911",2
"1912",4
"1913",0
"1914",8
"1915",3
"1916",9
"1917",0
"1918",17
"1919",0
"1920",18
"1921",0
"1922",1
"1923",9
"1924",0
"1925",1
"1926",4
"1927",4
"1928",5
"1929",7
"1930",10
"1931",1
"1932",6
"1933",2
"1934",20
"1935",2
"1936",0
"1937",2
"1938",3
"1939",0
"1940",5
"1941",3
"1942",0
"1943",2
"1944",2
"1945",1
"1946",4
"1947",7
"1948",14
"1949",0
"1950",0
"1951",7
"1952",3
"1953",0
"1954",19
"1955",1
"1956",2
"1957",2
"1958",7
"1959",11
"1960",10
"1961",0
"1962",0
"1963",1
"1964",8
"1965",0
"1966",12
"1967",18
"1968",3
"1969",0
"1970",2
"1971",0
"1972",9
"1973",7
"1974",12
"1975",0
"1976",0
"1977",3
"1978",3
"1979",4
"1980",9
"1981",0
"1982",4
"1983",26
"1984",0
"1985",2
"1986",0
"1987",2
"1988",8
"1989",0
"1990",13
"1991",2
"1992",2
"1993",17
"1994",17
"1995",5
"1996",6
"1997",0
"1998",4
"1999",1
"2000",15
"2001",7
"2002",7
"2003",6
"2004",1
"2005",4
"2006",13
"2007",39
"2008",29
"2009",7
"2010",0
"2011",2
"2012",10
"2013",28
"2014",7
"2015",3
"2016",3
"2017",44
"2018",3
"2019",13
"2020",0
"2021",3
"2022",6
"2023",2
"2024",7
"2025",6
"2026",1
"2027",4
"2028",0
"2029",3
"2030",2
"2031",6
"2032",3
"2033",1
"2034",0
"2035",8
"2036",8
"2037",12
"2038",23
"2039",6
"2040",4
"2041",10
"2042",0
"2043",9
"2044",1
"2045",1
"2046",12
"2047",3
"2048",27
"2049",5
"2050",4
"2051",0
"2052",9
"2053",4
"2054",10
"2055",0
"2056",6
"2057",5
"2058",3
"2059",1
"2060",16
"2061",4
"2062",0
"2063",3
"2064",0
"2065",11
"2066",1
"2067",1
"2068",2
"2069",6
"2070",8
"2071",10
"2072",8
"2073",4
"2074",17
"2075",12
"2076",1
"2077",14
"2078",10
"2079",24
"2080",2
"2081",6
"2082",26
"2083",24
"2084",0
"2085",8
"2086",1
"2087",3
"2088",20
"2089",6
"2090",2
"2091",4
"2092",17
"2093",2
"2094",0
"2095",17
"2096",0
"2097",3
"2098",0
"2099",7
"2100",2
"2101",17
"2102",3
"2103",3
"2104",3
"2105",1
"2106",2
"2107",5
"2108",2
"2109",0
"2110",14
"2111",0
"2112",12
"2113",3
"2114",2
"2115",5
"2116",5
"2117",4
"2118",0
"2119",0
"2120",1
"2121",0
"2122",6
"2123",3
"2124",1
"2125",5
"2126",7
"2127",2
"2128",7
"2129",0
"2130",22
"2131",2
"2132",0
"2133",4
"2134",0
"2135",1
"2136",5
"2137",2
"2138",10
"2139",6
"2140",2
"2141",1
"2142",0
"2143",11
"2144",1
"2145",4
"2146",0
"2147",0
"2148",15
"2149",35
"2150",5
"2151",1
"2152",5
"2153",2
"2154",1
"2155",1
"2156",18
"2157",3
"2158",18
"2159",3
"2160",2
"2161",11
"2162",1
"2163",0
"2164",18
"2165",0
"2166",9
"2167",12
"2168",4
"2169",5
"2170",3
"2171",1
"2172",5
"2173",0
"2174",0
"2175",10
"2176",9
"2177",2
"2178",6
"2179",2
"2180",10
"2181",24
"2182",13
"2183",0
"2184",7
"2185",8
"2186",0
"2187",14
"2188",0
"2189",1
"2190",8
"2191",6
"2192",2
"2193",1
"2194",4
"2195",10
"2196",3
"2197",3
"2198",0
"2199",7
"2200",14
"2201",2
"2202",2
"2203",10
"2204",3
"2205",0
"2206",3
"2207",0
"2208",2
"2209",0
"2210",22
"2211",1
"2212",15
"2213",14
"2214",11
"2215",7
"2216",3
"2217",5
"2218",9
"2219",1
"2220",17
"2221",3
"2222",5
"2223",0
"2224",16
"2225",0
"2226",32
"2227",1
"2228",2
"2229",10
"2230",1
"2231",7
"2232",14
"2233",0
"2234",9
"2235",4
"2236",10
"2237",2
"2238",1
"2239",7
"2240",0
"2241",1
"2242",16
"2243",20
"2244",13
"2245",4
"2246",18
"2247",13
"2248",31
"2249",3
"2250",0
"2251",0
"2252",3
"2253",13
"2254",19
"2255",18
"2256",5
"2257",0
"2258",11
"2259",4
"2260",12
"2261",1
"2262",2
"2263",10
"2264",6
"2265",38
"2266",6
"2267",4
"2268",4
"2269",9
"2270",0
"2271",4
"2272",2
"2273",8
"2274",14
"2275",0
"2276",0
"2277",20
"2278",7
"2279",1
"2280",2
"2281",3
"2282",2
"2283",0
"2284",6
"2285",1
"2286",17
"2287",7
"2288",0
"2289",20
"2290",1
"2291",0
"2292",14
"2293",0
"2294",8
"2295",11
"2296",3
"2297",12
"2298",3
"2299",13
"2300",18
"2301",5
"2302",1
"2303",3
"2304",1
"2305",4
"2306",0
"2307",3
"2308",1
"2309",14
"2310",9
"2311",2
"2312",6
"2313",3
"2314",21
"2315",1
"2316",0
"2317",3
"2318",0
"2319",9
"2320",14
"2321",3
"2322",2
"2323",0
"2324",2
"2325",17
"2326",0
"2327",17
"2328",8
"2329",2
"2330",1
"2331",2
"2332",1
"2333",11
"2334",6
"2335",0
"2336",1
"2337",0
"2338",12
"2339",6
"2340",0
"2341",6
"2342",6
"2343",18
"2344",1
"2345",0
"2346",0
"2347",20
"2348",6
"2349",20
"2350",31
"2351",8
"2352",3
"2353",2
"2354",4
"2355",5
"2356",9
"2357",18
"2358",9
"2359",1
"2360",1
"2361",1
"2362",0
"2363",4
"2364",8
"2365",1
"2366",10
"2367",0
"2368",2
"2369",4
"2370",5
"2371",3
"2372",1
"2373",24
"2374",2
"2375",7
"2376",3
"2377",1
"2378",1
"2379",8
"2380",10
"2381",0
"2382",4
"2383",11
"2384",0
"2385",3
"2386",24
"2387",0
"2388",2
"2389",8
"2390",3
"2391",4
"2392",7
"2393",0
"2394",9
"2395",13
"2396",0
"2397",12
"2398",7
"2399",1
"2400",7
"2401",0
"2402",0
"2403",3
"2404",3
"2405",2
"2406",0
"2407",5
"2408",0
"2409",2
"2410",4
"2411",6
"2412",11
"2413",6
"2414",14
"2415",3
"2416",21
"2417",7
"2418",10
"2419",0
"2420",0
"2421",2
"2422",1
"2423",6
"2424",6
"2425",5
"2426",7
"2427",4
"2428",3
"2429",2
"2430",0
"2431",32
"2432",2
"2433",2
"2434",3
"2435",3
"2436",2
"2437",14
"2438",3
"2439",7
"2440",6
"2441",11
"2442",5
"2443",2
"2444",3
"2445",2
"2446",29
"2447",4
"2448",2
"2449",0
"2450",29
"2451",11
"2452",0
"2453",1
"2454",0
"2455",10
"2456",9
"2457",3
"2458",37
"2459",0
"2460",3
"2461",0
"2462",2
"2463",21
"2464",7
"2465",5
"2466",6
"2467",1
"2468",11
"2469",1
"2470",6
"2471",0
"2472",0
"2473",5
"2474",0
"2475",4
"2476",4
"2477",2
"2478",33
"2479",10
"2480",3
"2481",4
"2482",5
"2483",2
"2484",2
"2485",0
"2486",0
"2487",13
"2488",6
"2489",7
"2490",2
"2491",2
"2492",2
"2493",5
"2494",6
"2495",0
"2496",12
"2497",1
"2498",11
